total_cases,total_deaths,people_fully_vaccinated,reproduction_rate
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
908.0,30.0,0.0,1.48
933.0,30.0,0.0,1.48
996.0,33.0,0.0,1.48
1026.0,36.0,0.0,1.49
1092.0,36.0,0.0,1.5
1176.0,40.0,0.0,1.51
1226.0,40.0,0.0,1.53
1330.0,43.0,0.0,1.54
1463.0,49.0,0.0,1.55
1531.0,50.0,0.0,1.56
1703.0,60.0,0.0,1.57
1827.0,60.0,0.0,1.58
1827.0,60.0,0.0,1.58
2171.0,64.0,0.0,1.6
2469.0,72.0,0.0,1.6
2469.0,72.0,0.0,1.59
2469.0,72.0,0.0,1.6
2469.0,72.0,0.0,1.61
3224.0,95.0,0.0,1.63
3392.0,104.0,0.0,1.61
3563.0,105.0,0.0,1.59
3563.0,105.0,0.0,1.58
4402.0,119.0,0.0,1.58
4664.0,120.0,0.0,1.56
4967.0,127.0,0.0,1.53
4967.0,127.0,0.0,1.51
5339.0,136.0,0.0,1.5
6053.0,153.0,0.0,1.49
6402.0,168.0,0.0,1.47
6635.0,169.0,0.0,1.45
7072.0,173.0,0.0,1.43
7655.0,177.0,0.0,1.42
8145.0,187.0,0.0,1.4
8676.0,193.0,0.0,1.38
9216.0,205.0,0.0,1.37
9952.0,215.0,0.0,1.35
10668.0,222.0,0.0,1.34
11180.0,223.0,0.0,1.32
11917.0,224.0,0.0,1.29
12465.0,230.0,0.0,1.27
13102.0,239.0,0.0,1.26
13745.0,250.0,0.0,1.24
14529.0,252.0,0.0,1.23
15180.0,254.0,0.0,1.21
15836.0,269.0,0.0,1.19
16578.0,274.0,0.0,1.18
17353.0,298.0,0.0,1.16
17977.0,303.0,0.0,1.14
19055.0,313.0,0.0,1.12
19637.0,331.0,0.0,1.11
20428.0,361.0,0.0,1.09
21003.0,373.0,0.0,1.07
21308.0,380.0,0.0,1.06
22228.0,409.0,0.0,1.04
22976.0,430.0,0.0,1.03
23632.0,450.0,0.0,1.01
24188.0,455.0,0.0,1.0
24852.0,475.0,0.0,0.99
25613.0,480.0,0.0,0.97
25719.0,488.0,0.0,0.95
26960.0,508.0,0.0,0.94
27423.0,550.0,0.0,0.93
27964.0,552.0,0.0,0.91
28383.0,552.0,0.0,0.9
28919.0,585.0,0.0,0.88
29229.0,602.0,0.0,0.87
29567.0,622.0,0.0,0.86
29726.0,643.0,0.0,0.84
30261.0,679.0,0.0,0.84
30346.0,684.0,0.0,0.83
30702.0,707.0,0.0,0.83
31053.0,733.0,0.0,0.82
31324.0,737.0,0.0,0.82
31445.0,739.0,0.0,0.81
31848.0,778.0,0.0,0.81
32108.0,811.0,0.0,0.81
32410.0,823.0,0.0,0.81
32758.0,830.0,0.0,0.8
33037.0,868.0,0.0,0.8
33150.0,891.0,0.0,0.79
33470.0,924.0,0.0,0.79
33680.0,940.0,0.0,0.79
33739.0,941.0,0.0,0.78
34280.0,975.0,0.0,0.78
34437.0,979.0,0.0,0.78
34537.0,1014.0,0.0,0.77
34541.0,1016.0,0.0,0.77
34826.0,1049.0,0.0,0.77
35026.0,1098.0,0.0,0.76
35156.0,1117.0,0.0,0.76
35315.0,1151.0,0.0,0.76
35375.0,1151.0,0.0,0.75
35561.0,1185.0,0.0,0.75
35595.0,1187.0,0.0,0.75
35701.0,1188.0,0.0,0.75
35813.0,1194.0,0.0,0.76
36001.0,1215.0,0.0,0.76
36067.0,1229.0,0.0,0.76
36122.0,1250.0,0.0,0.76
36243.0,1263.0,0.0,0.77
36349.0,1273.0,0.0,0.77
36454.0,1274.0,0.0,0.77
36557.0,1275.0,0.0,0.77
36628.0,1275.0,0.0,0.77
36628.0,1275.0,0.0,0.78
36796.0,1287.0,0.0,0.78
36796.0,1287.0,0.0,0.78
36796.0,1287.0,0.0,0.79
36833.0,1292.0,0.0,0.8
36915.0,1298.0,0.0,0.81
36982.0,1302.0,0.0,0.82
37023.0,1302.0,0.0,0.84
37101.0,1311.0,0.0,0.85
37140.0,1316.0,0.0,0.86
37140.0,1316.0,0.0,0.87
37355.0,1348.0,0.0,0.89
37431.0,1358.0,0.0,0.89
37510.0,1367.0,0.0,0.88
37517.0,1367.0,0.0,0.88
37637.0,1374.0,0.0,0.88
37682.0,1379.0,0.0,0.88
37682.0,1379.0,0.0,0.88
37685.0,1379.0,0.0,0.88
37685.0,1379.0,0.0,0.89
37845.0,1387.0,0.0,0.91
37942.0,1389.0,0.0,0.91
37980.0,1389.0,0.0,0.9
38039.0,1389.0,0.0,0.89
38085.0,1391.0,0.0,0.89
38156.0,1401.0,0.0,0.89
38199.0,1405.0,0.0,0.88
38215.0,1405.0,0.0,0.88
38226.0,1406.0,0.0,0.88
38229.0,1406.0,0.0,0.88
38229.0,1406.0,0.0,0.89
38248.0,1406.0,0.0,0.9
38282.0,1410.0,0.0,0.92
38329.0,1413.0,0.0,0.94
38374.0,1413.0,0.0,0.95
38374.0,1413.0,0.0,0.96
38390.0,1413.0,0.0,0.98
38484.0,1416.0,0.0,1.0
38580.0,1419.0,0.0,1.01
38606.0,1422.0,0.0,1.0
38630.0,1424.0,0.0,1.0
38658.0,1424.0,0.0,1.0
38692.0,1424.0,0.0,1.01
38727.0,1424.0,0.0,1.01
38802.0,1424.0,0.0,1.02
38858.0,1429.0,0.0,1.02
38901.0,1430.0,0.0,1.01
38941.0,1440.0,0.0,1.01
38958.0,1440.0,0.0,1.01
38969.0,1441.0,0.0,1.01
39005.0,1441.0,0.0,1.02
39130.0,1445.0,0.0,1.03
39160.0,1448.0,0.0,1.02
39182.0,1449.0,0.0,1.01
39231.0,1450.0,0.0,1.01
39256.0,1455.0,0.0,1.01
39272.0,1455.0,0.0,1.01
39278.0,1457.0,0.0,1.01
39313.0,1457.0,0.0,1.02
39325.0,1460.0,0.0,1.03
39340.0,1462.0,0.0,1.04
39354.0,1462.0,0.0,1.06
39371.0,1462.0,0.0,1.08
39376.0,1462.0,0.0,1.1
39383.0,1466.0,0.0,1.13
39427.0,1466.0,0.0,1.16
39508.0,1470.0,0.0,1.19
39572.0,1471.0,0.0,1.2
39634.0,1473.0,0.0,1.2
39702.0,1474.0,0.0,1.21
39779.0,1476.0,0.0,1.21
39789.0,1477.0,0.0,1.21
39885.0,1481.0,0.0,1.21
39956.0,1483.0,0.0,1.2
40014.0,1484.0,0.0,1.2
40080.0,1485.0,0.0,1.19
40112.0,1485.0,0.0,1.19
40159.0,1489.0,0.0,1.19
40227.0,1492.0,0.0,1.19
40286.0,1496.0,0.0,1.19
40373.0,1501.0,0.0,1.19
40461.0,1503.0,0.0,1.19
40461.0,1503.0,0.0,1.19
40510.0,1503.0,0.0,1.2
40626.0,1505.0,0.0,1.2
40687.0,1507.0,0.0,1.2
40768.0,1511.0,0.0,1.2
40833.0,1514.0,0.0,1.21
40937.0,1518.0,0.0,1.21
41032.0,1523.0,0.0,1.21
